line_id,donor,clone,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,salmonella_date,atac_date,flow_date,medium_changes,terminated,status,mean_purity,max_purity,genotype_id,open_access,sex,RNA_included,ATAC_included
xucm_3,xucm,3,1,1/14/2015,3/13/2015,29,frozen,E8,3/30/2015,33,4/2/2015,5/13/2015,5/13/2015,5/14/2015,6,5/12/2015,Success,0.979376647542255,1,HPSI0613i-xucm_3,0,female,1,1
xugn_1,xugn,1,1,1/14/2015,5/21/2015,23,frozen,E8,6/8/2015,27,6/11/2015,7/22/2015,7/22/2015,7/21/2015,8,7/24/2015,Success,0.976953907815631,0.980818780417979,HPSI0314i-xugn_1,1,male,1,1
yemz_1,yemz,1,1,1/14/2015,3/10/2015,25,frozen,E8,3/20/2015,27,3/23/2015,4/24/2015,NA,4/23/2015,9,5/7/2015,Success,0.995252008765522,0.997443389335281,HPSI1013i-yemz_1,1,male,1,0
zaui_3,zaui,3,1,1/14/2015,9/15/2015,33,frozen,E8,10/8/2015,38,10/11/2015,11/18/2015,11/18/2015,11/27/2015,9,11/30/2015,Success,0.892098004218725,0.899399643030991,HPSI0513i-zaui_3,0,female,1,1
bipt_1,bipt,1,1,6/11/2015,8/25/2015,25,frozen,E8,9/19/2015,29,9/22/2015,NA,NA,NA,9,11/6/2015,Diff_fail,NA,NA,HPSI0314i-bipt_1,1,male,0,0
diku_1,diku,1,1,6/11/2015,9/15/2015,33,frozen,E8,10/12/2015,38,10/15/2015,11/13/2015,11/13/2015,11/17/2015,6,11/11/2015,Success,0.9917225950783,0.993959731543624,HPSI0913i-diku_1,1,female,1,1
dons_1,dons,1,1,6/11/2015,6/11/2015,44,frozen,E8,6/30/2015,48,7/3/2015,NA,NA,NA,7,8/11/2015,Diff_fail,NA,NA,HPSI1113i-dons_1,1,female,0,0
eipl_1,eipl,1,1,6/11/2015,6/11/2015,34,frozen,E8,6/27/2015,38,6/30/2015,8/4/2015,8/4/2015,7/30/2015,7,8/8/2015,Success,0.948499515972895,0.961858664085189,HPSI0114i-eipl_1,1,female,1,1
fikt_3,fikt,3,1,9/2/2015,9/14/2015,37,frozen,E8,9/30/2015,41,10/3/2015,11/5/2015,11/5/2015,11/3/2015,5,10/28/2015,Success,0.98604371736217,0.993622625814502,HPSI0114i-fikt_3,1,female,1,1
hayt_1,hayt,1,1,6/11/2015,8/7/2015,42,frozen,E8,9/9/2015,48,9/12/2015,10/9/2015,10/9/2015,10/16/2015,6,10/14/2015,Success,0.950323688730347,0.974237019421324,HPSI1113i-hayt_1,1,male,1,1
heja_1,heja,1,1,6/11/2015,6/11/2015,32,frozen,E8,6/26/2015,36,6/29/2015,8/12/2015,8/12/2015,8/13/2015,9,8/12/2015,Success,0.937208315655494,0.94548154433602,HPSI0214i-heja_1,1,male,1,1
kehc_2,kehc,2,1,6/11/2015,6/11/2015,28,frozen,E8,6/26/2015,32,6/29/2015,NA,NA,8/5/2015,8,8/11/2015,FC_QC_fail,0.841707717569787,0.857799671592775,HPSI0214i-kehc_2,1,female,0,0
kucg_2,kucg,2,1,6/11/2015,8/25/2015,29,frozen,E8,9/18/2015,33,9/21/2015,NA,NA,10/28/2015,8,11/2/2015,FC_QC_fail,0.795571140983181,0.799922072861874,HPSI0214i-kucg_2,1,male,0,0
oevr_3,oevr,3,1,6/11/2015,8/7/2015,35,frozen,E8,8/27/2015,39,8/30/2015,10/14/2015,10/9/2015,10/16/2015,8,10/12/2015,Success,0.948616125150421,0.955234657039711,HPSI0114i-oevr_3,1,male,1,1
pelm_3,pelm,3,1,6/11/2015,6/11/2015,30,frozen,E8,6/30/2015,34,7/3/2015,8/12/2015,8/12/2015,8/13/2015,8,8/12/2015,Success,0.959846519671422,0.961738002594034,HPSI0214i-pelm_3,1,female,1,1
qonc_2,qonc,2,1,6/11/2015,8/20/2015,27,frozen,E8,9/20/2015,33,9/23/2015,NA,NA,NA,7,11/2/2015,Diff_fail,NA,NA,HPSI0314i-qonc_2,1,female,0,0
sojd_3,sojd,3,1,6/11/2015,8/20/2015,23,frozen,E8,9/8/2015,27,9/11/2015,10/14/2015,10/14/2015,10/20/2015,7,10/19/2015,Success,0.892613377824966,0.921886849689064,HPSI0314i-sojd_3,1,female,1,1
uofv_1,uofv,1,1,6/11/2015,8/20/2015,47,frozen,E8,9/19/2015,52,9/22/2015,NA,NA,NA,8,11/5/2015,Diff_fail,NA,NA,HPSI1113i-uofv_1,1,male,0,0
